START application at (2014-9-5(SUN) 20:2:48)
  Execute SQL: SELECT date,content,category,price FROM income WHERE 1 ORDER BY date at (2014-9-5(SUN) 20:2:58)
    >> Select[
              2014-6-12, 家賃, 住宅費, 89932
              2014-6-12, コンビニ, 食費, 463
              2014-6-12, チャージ, 交通費, 2000
              2014-6-13, さぼてん, 食費, 915
              2014-6-15, スーパー, 食費, 1720
              2014-6-15, ドラッグストア, 物品購入費, 1874
              2014-6-16, 電気代, 水道光熱費, 2030
              2014-6-16, コンビニ, 食費, 1070
              2014-6-16, チャージ(食堂用), 食費, 3000
              2014-6-17, ビリヤード, 娯楽費, 646
              2014-6-17, 銀だこ, 食費, 620
              2014-6-17, こころ亭, 食費, 541
              2014-6-18, チャージ, 交通費, 2000
              2014-6-18, マクド, 食費, 760
              2014-6-19, コンビニ, 食費, 619
              2014-6-20, スーパー, 食費, 2900
              2014-6-22, 外食(寿司), 食費, 950
              2014-6-22, ダーツ, 娯楽費, 400
              2014-6-22, 自動販売機, 飲料費, 160
              2014-6-22, 卓球, 娯楽費, 400
              2014-6-22, ビリヤード, 娯楽費, 1295
              2014-6-22, 外食(中華), 食費, 1410
              2014-6-23, チャージ(食堂用), 食費, 3000
              2014-6-23, コンビニ, 食費, 1160
              2014-6-24, つな八, 食費, 1155
              2014-6-25, パン屋, 食費, 637
              2014-6-25, キッチンジロー, 食費, 880
              2014-6-26, コンビニ, 食費, 1001
              2014-6-27, スーパー, 食費, 1354
              2014-6-27, クリーニング, 被服費, 400
              2014-6-28, 手数料, 手数料, 216
              2014-6-28, コンビニ, 食費, 422
              2014-6-29, 美容院, 美容費, 3888
              2014-6-29, ドラッグストア, 物品購入費, 1231
              2014-6-29, 読売新聞, 教養娯楽費, 3703
              2014-6-30, チャージ(食堂用), 食費, 3000
              2014-6-30, チャージ, 交通費, 2000
              2014-6-30, コンビニ, 食費, 889
              2014-6-30, UCOM, 通信費, 2916
              2014-7-1, ガス代, 水道光熱費, 2241
              2014-7-1, マクド, 食費, 833
              2014-7-2, コンビニ, 食費, 662
              2014-7-3, 外食(バイキング), 食費, 2190
              2014-7-5, チャージ, 交通費, 3000
              2014-7-5, 外食(うどん), 食費, 2019
              2014-7-5, クレープ, 食費, 613
              2014-7-5, 浅草寺, 娯楽費, 230
             ]
  Execute SQL: SELECT DISTINCT category FROM income; at (2014-9-5(SUN) 20:3:2)
  Execute SQL: SELECT DISTINCT category FROM expense; at (2014-9-5(SUN) 20:3:2)
  Execute SQL: SELECT content,category FROM expense WHERE category = '美容費' ORDER BY date at (2014-9-5(SUN) 20:3:22)
    >> Select[
              , 美容院, 美容費, 
              , 美容院, 美容費, 
             ]
  Execute SQL: SELECT DISTINCT category FROM income; at (2014-9-5(SUN) 20:5:16)
  Execute SQL: SELECT DISTINCT category FROM expense; at (2014-9-5(SUN) 20:5:16)
  Execute SQL: SELECT date,content,category,price FROM expense WHERE content LIKE 'ドラッグストア' ORDER BY date at (2014-9-5(SUN) 20:5:30)
    >> Select[
              2014-4-24, ドラッグストア, 医療費, 1051
              2014-5-1, ドラッグストア, 物品購入費, 2028
              2014-6-15, ドラッグストア, 物品購入費, 1874
              2014-6-29, ドラッグストア, 物品購入費, 1231
             ]
END application at (2014-9-5(SUN) 20:9:1)
START application at (2014-9-18(SAT) 21:57:27)
  Execute SQL: SELECT date,content,category,price FROM income WHERE 1 ORDER BY date at (2014-9-18(SAT) 21:57:40)
    >> Select[
              2014-4-25, 給料, 給料, 255080
              2014-5-2, 引越時の往路代, 交通費, 13290
              2014-5-9, 交通費立替, 交通費, 13618
              2014-5-13, チャージ(食堂用)返金, その他, 140
              2014-5-23, 給料, 給料, 229273
              2014-6-6, 交通費立替, 交通費, 9666
              2014-6-25, 給料, 給料, 228144
